,player,team,atm_away,atm_home,score_away,score_home,atm_total,score_total
1088,Millsap,UTA,845,884,594,638,1729,1232
1090,Mobley,LAC,211,245,172,204,456,376
1091,Mohammed,CHA,212,177,125,114,389,239
1092,Mohammed,DET,49,66,27,39,115,66
1093,Mohammed,OKC,21,36,11,21,57,32
1094,Monroe,DET,268,237,183,163,505,346
1096,Moon,CLE,22,37,15,33,59,48
1099,Moon,TOR,72,79,52,67,151,119
1102,Moore,NJN,130,134,85,98,264,183
1103,Moore,SAC,111,113,86,82,224,168
1108,Morris,PHX,56,44,39,33,100,72
1109,Morrison,CHA,90,100,64,72,190,136
1111,Morrow,GSW,105,93,89,85,198,174
1112,Morrow,NJN,114,97,104,89,211,193
1113,Mourning,MIA,175,220,106,127,395,233
1114,Mozgov,DEN,29,36,21,24,65,45
1116,Mullens,CHA,61,50,52,39,111,91
1119,Murphy,GSW,21,45,19,28,66,47
1120,Murphy,IND,367,330,293,266,697,559
1123,Murray,ATL,131,139,102,107,270,209
1124,Murray,CHA,69,60,51,41,129,92
1125,Murray,CHI,28,43,21,35,71,56
1126,Murray,DET,102,66,68,49,168,117
1127,Murray,IND,33,28,26,20,61,46
1128,Mutombo,HOU,88,69,56,52,157,108
1131,Nachbar,NJN,191,191,149,158,382,307
1134,Najera,DEN,78,136,57,95,214,152
1136,Nash,PHX,709,734,639,677,1443,1316
1137,Navarro,MEM,84,62,74,50,146,124
1138,Neal,SAS,94,81,81,60,175,141
1140,Nelson,ORL,454,507,371,422,961,793
1141,Nene,DEN,507,589,353,404,1096,757
1144,Nesterovic,TOR,49,60,31,45,109,76
1147,Noah,CHI,522,562,387,400,1084,787
1148,Nocioni,CHI,258,270,199,231,528,430
1149,Nocioni,PHI,27,45,22,33,72,55
1150,Nocioni,SAC,68,89,49,67,157,116
1156,Nowitzki,DAL,1672,1760,1486,1594,3432,3080
1161,O'Neal,CLE,131,141,72,71,272,143
1162,O'Neal,IND,278,329,204,258,607,462
1163,O'Neal,MIA,402,439,230,239,841,469
1164,O'Neal,PHX,349,394,199,224,743,423
1165,O'Neal,TOR,83,59,67,48,142,115
1168,Oberto,SAS,89,93,56,57,182,113
1170,Oden,POR,121,173,77,118,294,195
1171,Odom,DAL,38,55,22,35,93,57
1172,Odom,LAL,787,829,522,563,1616,1085
1173,Okafor,CHA,450,588,263,344,1038,607
1174,Okafor,NOH,271,346,155,186,617,341
1176,Okur,UTA,653,648,526,511,1301,1037
1177,Ollie,MIN,52,44,46,34,96,80
1179,Ollie,PHI,34,28,27,24,62,51
1183,Outlaw,NJN,92,79,65,67,171,132
1185,Outlaw,POR,309,439,226,337,748,563
1192,Pachulia,ATL,676,667,481,506,1343,987
1198,Pargo,NOH,53,52,44,44,105,88
1199,Pargo,NOK,57,63,49,53,120,102
1200,Parker,CLE,123,136,92,101,259,193
1202,Parker,LAL,77,96,51,61,173,112
1204,Parker,SAS,935,1234,719,926,2169,1645
1205,Parker,TOR,229,251,192,204,480,396
1206,Parsons,HOU,39,37,21,20,76,41
1207,Patterson,HOU,53,46,35,35,99,70
1209,Patterson,MIL,173,201,109,131,374,240
1210,Paul,LAC,163,139,142,118,302,260
1211,Paul,NOH,788,846,680,721,1634,1401
1212,Paul,NOK,202,153,166,124,355,290
1214,Pavlovic,CLE,127,176,84,118,303,202
1217,Payton,MIA,24,33,15,23,57,38
1219,Pecherov,WAS,42,20,29,17,62,46
1220,Pekovic,MIN,147,154,107,119,301,226
1223,Perkins,BOS,444,446,272,270,890,542
1224,Perkins,OKC,94,83,65,44,177,109
1226,Peterson,NOH,84,84,59,58,168,117
1227,Peterson,TOR,59,70,39,50,129,89
1229,Petro,NJN,36,29,24,22,65,46
1231,Petro,SEA,74,90,57,57,164,114
1233,Pierce,BOS,1619,1473,1359,1228,3092,2587
1235,Pietrus,GSW,164,180,113,114,344,227
1236,Pietrus,ORL,147,173,100,117,320,217
1237,Pietrus,PHX,24,27,18,18,51,36
1242,Pondexter,MEM,15,38,11,22,53,33
1244,Posey,BOS,90,65,72,56,155,128
1246,Posey,MIA,41,60,35,49,101,84
1247,Posey,NOH,120,128,101,104,248,205
1248,Powe,BOS,293,372,208,260,665,468
1249,Powe,CLE,45,48,23,29,93,52
1254,Powell,LAC,40,47,31,32,87,63
1255,Powell,LAL,35,54,27,39,89,66
1258,Price,IND,94,107,70,81,201,151
1260,Price,SAC,32,23,24,13,55,37
1261,Price,UTA,72,132,53,93,204,146
1262,Prince,DET,581,594,435,454,1175,889
1265,Przybilla,POR,182,230,122,142,412,264
1267,Quinn,MIA,114,81,89,70,195,159
1270,R. Allen,BOS,508,451,459,420,959,879
1273,R. Davis,LAC,34,34,27,23,68,50
1280,Radmanovic,GSW,27,28,23,23,55,46
1281,Radmanovic,LAL,100,71,81,52,171,133
1282,Randolph,GSW,143,130,104,104,273,208
1283,Randolph,LAC,111,66,75,49,177,124
1284,Randolph,MEM,494,561,368,439,1055,807
1285,Randolph,MIN,86,72,61,55,158,116
1286,Randolph,NYK,170,189,138,138,359,276
1288,Randolph,POR,264,223,219,178,487,397
1297,Ray,BOS,38,17,30,12,55,42
1298,Redd,MIL,567,570,457,472,1137,929
1299,Redd,PHX,69,41,53,34,110,87
1300,Redick,ORL,328,425,285,373,753,658
1305,Richardson,CHA,207,180,162,128,387,290
1306,Richardson,GSW,91,76,59,52,167,111
1307,Richardson,MIA,36,40,28,28,76,56
1308,Richardson,NYK,144,171,105,118,315,223
1309,Richardson,ORL,33,20,23,17,53,40
1310,Richardson,PHX,222,236,164,183,458,347
1312,Ridnour,MIL,150,152,136,131,302,267
1313,Ridnour,MIN,112,143,100,127,255,227
1314,Ridnour,SEA,118,128,100,102,246,202
1317,Roberts,MEM,83,48,61,34,131,95
1318,Robinson,BOS,26,42,21,32,68,53
1320,Robinson,GSW,54,57,42,51,111,93
1322,Robinson,NYK,310,362,243,298,672,541
1325,Rodriguez,POR,71,66,53,50,137,103
1326,Rodriguez,SAC,24,38,16,27,62,43
1327,Rondo,BOS,722,768,439,491,1490,930
1328,Rose,CHI,766,795,632,641,1561,1273
1329,Rose,NYK,65,47,50,36,112,86
1333,Ross,LAC,68,79,48,60,147,108
1337,Roy,POR,863,894,695,714,1757,1409
1338,Rubio,MIN,74,83,66,60,157,126
1339,Ruffin,MIL,22,41,7,18,63,25
1342,Rush,GSW,33,48,24,40,81,64
1343,Rush,IND,145,160,97,116,305,213
1349,S. Jones,IND,62,69,45,47,131,92
1350,S. O'Neal,BOS,44,89,26,47,133,73
1352,S. Williams,ATL,67,96,49,75,163,124
1353,S. Williams,NJN,79,71,45,46,150,91
1354,S. Williams,SAC,27,27,18,18,54,36
1356,Salmons,CHI,136,160,111,131,296,242
1357,Salmons,MIL,213,205,182,171,418,353
1358,Salmons,SAC,347,394,271,322,741,593
1363,Samuels,CLE,124,103,80,70,227,150
1364,Sanders,MIL,48,40,27,19,88,46
1365,Scalabrine,BOS,43,26,34,22,69,56
1368,Scola,HOU,635,692,477,504,1327,981
1369,Sefolosha,CHI,98,88,67,59,186,126
1370,Sefolosha,OKC,152,129,120,98,281,218
1375,Seraphin,WAS,48,50,33,35,98,68
1376,Sessions,CLE,247,323,214,256,570,470
1377,Sessions,LAL,31,44,21,30,75,51
1378,Sessions,MIL,165,230,130,183,395,313
1379,Sessions,MIN,115,118,86,81,233,167
1383,She. Williams,NJN,25,31,21,24,56,45
1385,Shumpert,NYK,51,58,37,50,109,87
1392,Simmons,MIL,29,41,23,30,70,53
1393,Simmons,NJN,40,38,30,31,78,61
1398,Singleton,DAL,48,36,40,31,84,71
1400,Singleton,WAS,61,52,50,39,113,89
1401,Skinner,LAC,21,34,16,20,55,36
1402,Skinner,MIL,31,48,16,30,79,46
1403,Skinner,PHX,33,38,20,17,71,37
1407,Smith,ATL,972,1037,647,707,2009,1354
1408,Smith,CHI,78,57,60,49,135,109
1409,Smith,CLE,66,82,44,59,148,103
1410,Smith,DEN,481,589,346,442,1070,788
1413,Smith,LAC,144,131,92,90,275,182
1416,Smith,MIN,326,305,221,196,631,417
1417,Smith,NOH,57,60,45,47,117,92
1418,Smith,NYK,23,32,15,24,55,39
1419,Smith,OKC,22,32,15,23,54,38
1421,Smith,PHI,101,161,83,117,262,200
1423,Snow,CLE,93,56,57,33,149,90
1424,Snyder,HOU,50,36,30,25,86,55
1425,Snyder,MIN,42,35,30,28,77,58
1428,Songaila,NOH,50,24,40,20,74,60
1430,Songaila,WAS,134,101,115,94,235,209
1433,Speights,MEM,41,68,29,55,109,84
1434,Speights,PHI,152,194,113,150,346,263
1435,Splitter,SAS,168,154,100,99,322,199
1437,Stackhouse,DAL,191,215,164,189,406,353
1439,Stackhouse,MIL,42,45,32,40,87,72
1441,Stevenson,DAL,29,36,21,28,65,49
1443,Stevenson,WAS,283,240,201,177,523,378
1446,Stojakovic,NOH,175,223,158,204,398,362
1451,Stoudamire,ATL,63,57,54,50,120,104
1452,Stoudamire,MEM,52,57,40,47,109,87
1454,Stoudemire,NYK,424,440,329,346,864,675
1455,Stoudemire,PHX,1275,1279,998,1018,2554,2016
1457,Stuckey,DET,739,833,621,693,1572,1314
1458,Summers,DET,42,16,30,6,58,36
1460,Sweetney,CHI,28,40,12,25,68,37
1461,Swift,MEM,91,124,65,84,215,149
1467,Szczerbiak,BOS,62,62,58,53,124,111
1468,Szczerbiak,CLE,92,94,80,81,186,161
1469,Szczerbiak,SEA,57,77,49,64,134,113
1470,T. Allen,BOS,209,214,153,151,423,304
1476,T. Thompson,CLE,72,95,39,51,167,90
1477,T. Williams,NJN,72,72,52,49,144,101
1478,Taylor,HOU,37,15,29,9,52,38
1479,Taylor,LAC,32,49,26,30,81,56
1482,Teague,ATL,157,197,119,158,354,277
1483,Telfair,BOS,67,43,55,35,110,90
1486,Telfair,MIN,195,130,153,100,325,253
1487,Telfair,PHX,30,27,25,20,57,45
1493,Terry,DAL,674,714,572,610,1388,1182
1494,Thabeet,MEM,61,67,35,38,128,73
1497,Thomas,CHA,167,143,129,108,310,237
1498,Thomas,CHI,325,368,222,263,693,485
1500,Thomas,LAC,149,169,103,125,318,228
1503,Thomas,NOH,42,20,38,14,62,52
1504,Thomas,NYK,24,43,23,31,67,54
1506,Thomas,PHX,42,38,34,30,80,64
1508,Thomas,SAC,127,132,89,99,259,188
1509,Thomas,SAS,42,40,31,29,82,60
1510,Thomas,SEA,15,41,10,29,56,39
1511,Thomas,WAS,71,98,43,55,169,98
1515,Thompson,GSW,42,45,36,40,87,76
1516,Thompson,SAC,453,487,295,328,940,623
1518,Thornton,LAC,335,397,251,297,732,548
1519,Thornton,NOH,112,131,89,105,243,194
1520,Thornton,SAC,136,145,116,120,281,236
1521,Thornton,WAS,90,89,65,66,179,131
1523,Tinsley,IND,177,162,126,118,339,244
1526,Tolliver,GSW,63,71,45,58,134,103
1527,Tolliver,MIN,87,99,71,75,186,146
1531,Tucker,PHX,31,29,24,23,60,47
1533,Turiaf,GSW,71,131,43,92,202,135
1534,Turiaf,LAL,181,166,128,118,347,246
1536,Turiaf,NYK,57,51,39,29,108,68
1537,Turkoglu,ORL,718,675,574,525,1393,1099
1539,Turkoglu,TOR,88,138,67,108,226,175
1540,Turner,PHI,134,101,101,75,235,176
1541,Ty. Thomas,CHI,44,78,37,58,122,95
1544,Udoh,GSW,67,61,49,39,128,88
1546,Udoka,POR,45,44,34,32,89,66
1547,Udoka,SAC,25,32,19,23,57,42
1548,Udoka,SAS,49,74,32,51,123,83
1549,Udrih,MIL,35,20,24,15,55,39
1550,Udrih,SAC,296,370,251,312,666,563
1551,Udrih,SAS,37,25,33,22,62,55
1553,Ukic,TOR,46,14,33,11,60,44
1554,Uzoh,NJN,30,26,20,13,56,33
1556,Varejao,CLE,531,511,326,329,1042,655
1557,Vasquez,MEM,24,33,18,26,57,44
1558,Vasquez,NOH,64,53,51,45,117,96
1559,Vaughn,SAS,85,88,63,68,173,131
1560,Vesely,WAS,24,38,15,18,62,33
1562,Villanueva,DET,120,133,96,105,253,201
1563,Villanueva,MIL,253,233,208,189,486,397
1566,Voskuhl,CHA,53,60,35,42,113,77
1570,Vujacic,LAL,147,146,129,125,293,254
1571,Vujacic,NJN,43,51,36,44,94,80
1575,Wade,MIA,1839,1890,1417,1456,3729,2873
1578,Wafer,HOU,65,74,48,59,139,107
1579,Wafer,ORL,23,31,17,21,54,38
1583,Walker,CHA,74,139,59,109,213,168
1584,Walker,MIA,57,59,29,26,116,55
1585,Walker,MIN,38,28,19,16,66,35
1586,Walker,NYK,70,44,51,36,114,87
1587,Wall,WAS,396,391,311,301,787,612
1588,Wallace,BOS,87,65,70,49,152,119
1589,Wallace,CHA,923,1230,695,923,2153,1618
1590,Wallace,CHI,256,178,114,70,434,184
1591,Wallace,CLE,57,77,25,28,134,53
1592,Wallace,DET,384,327,246,200,711,446
1593,Wallace,NJN,15,45,13,39,60,52
1594,Wallace,POR,116,167,83,139,283,222
1595,Walton,LAL,201,183,147,127,384,274
1597,Warrick,CHI,51,57,40,42,108,82
1598,Warrick,MEM,473,549,357,391,1022,748
1599,Warrick,MIL,90,82,65,60,172,125
1600,Warrick,PHX,174,219,126,162,393,288
1604,Watson,CHI,107,99,85,76,206,161
1605,Watson,GSW,194,188,167,147,382,314
1606,Watson,IND,75,94,51,69,169,120
1607,Watson,OKC,56,50,40,40,106,80
1608,Watson,SEA,146,146,107,112,292,219
1609,Watson,UTA,49,79,31,55,128,86
1610,Weaver,OKC,39,25,26,20,64,46
1612,Webber,DET,81,98,48,61,179,109
1615,Webster,MIN,115,79,90,61,194,151
1616,Webster,POR,239,232,180,171,471,351
1618,Weems,TOR,66,92,46,70,158,116
1619,Wells,HOU,112,144,72,85,256,157
1620,Wells,NOH,19,40,9,26,59,35
1622,West,ATL,41,30,22,16,71,38
1623,West,BOS,125,97,106,83,222,189
1624,West,CLE,198,203,162,169,401,331
1625,West,DAL,42,28,37,25,70,62
1626,West,IND,96,80,73,69,176,142
1628,West,NOH,765,754,659,643,1519,1302
1629,West,NOK,115,110,94,93,225,187
1631,Westbrook,OKC,1053,1014,874,826,2067,1700
1632,White,CHA,60,55,47,37,115,84
1637,Wilcox,DET,67,74,34,42,141,76
1638,Wilcox,NYK,20,31,10,16,51,26
1639,Wilcox,OKC,24,63,14,38,87,52
1640,Wilcox,SEA,302,293,199,197,595,396
1641,Wilkins,ATL,29,27,20,20,56,40
1642,Wilkins,DET,34,20,21,13,54,34
1643,Wilkins,MIN,60,69,47,56,129,103
1645,Wilkins,SEA,131,183,103,153,314,256
1649,Williams,ATL,489,444,391,372,933,763
1650,Williams,BOS,50,61,39,48,111,87
1655,Williams,GSW,109,93,83,71,202,154
1657,Williams,IND,75,51,54,33,126,87
1658,Williams,LAC,92,105,81,89,197,170
1660,Williams,MEM,29,26,21,16,55,37
1661,Williams,MIA,95,83,82,75,178,157
1662,Williams,MIL,175,183,145,160,358,305
1663,Williams,MIN,108,108,80,70,216,150
1664,Williams,NJN,253,222,198,163,475,361
1667,Williams,PHI,863,847,690,672,1710,1362
1669,Williams,SAC,100,57,52,29,157,81
1671,Williams,UTA,1074,1038,890,828,2112,1718
1672,Williamson,SAC,97,110,71,77,207,148
1674,World Peace,LAL,55,58,28,42,113,70
1677,Wright,DAL,85,111,58,78,196,136
1678,Wright,GSW,75,50,57,33,125,90
1679,Wright,MIA,139,90,109,76,229,185
1681,Wright,NJN,83,65,55,45,148,100
1682,Wright,NOH,67,66,39,43,133,82
1683,Wright,TOR,65,55,39,36,120,75
1684,Yao,HOU,672,675,585,576,1347,1161
1686,Yi,MIL,58,87,45,77,145,122
1687,Yi,NJN,54,79,44,59,133,103
1688,Yi,WAS,55,36,38,24,91,62
1690,Young,MEM,163,155,130,114,318,244
1691,Young,PHI,406,401,302,285,807,587
1692,Young,WAS,408,397,339,327,805,666
